k,tk,sk,
1,0,1,
2,0.18642,0.99844,
3,0.4551,0.98694,
4,0.72378,0.97544,
5,1.05963,0.97256,
6,1.39548,0.96681,
7,1.69774,0.95531,
8,1.96642,0.94381,
9,2.26868,0.92943,
10,2.57095,0.92081,
11,2.9068,0.92081,
12,3.24264,0.92081,*
13,3.57849,0.90931,
14,3.88076,0.89206,
15,4.18302,0.88631,
16,4.51887,0.87768,
17,4.78755,0.86331,
18,5.1234,0.8518,
19,5.45925,0.84318,
20,5.76151,0.83455,
21,6.03019,0.8288,*
22,6.06377,0.8288,C
23,6.36604,0.81443,
24,6.6683,0.7943,
25,6.93698,0.77705,
26,7.23924,0.76842,
27,7.47434,0.74255,
28,7.7766,0.73105,
29,8.07887,0.71667,
30,8.38113,0.70805,
31,8.68339,0.69367,
32,9.01924,0.68217,*
33,9.25434,0.66492,
34,9.52301,0.63904,
35,9.72452,0.63329,
36,10.02679,0.61892,
37,10.36264,0.60741,
38,10.36264,0.60454,
39,10.56415,0.58729,
40,10.86641,0.57291,
41,11.20226,0.55854,
42,11.50452,0.54704,
43,11.80678,0.53554,
44,11.97471,0.51253,
45,12.27697,0.50966,*
46,12.61282,0.50391,
47,12.94867,0.50103,
48,13.28452,0.48953,
49,13.62037,0.48091,
50,13.9898,0.45791,
51,14.29206,0.43203,
52,14.32565,0.43203,C
53,14.56074,0.41478,
54,14.86301,0.40615,
55,15.19886,0.39178,*
56,15.5347,0.3774,
57,15.87055,0.36302,
58,16.00489,0.35152,
59,16.17282,0.35152,C
60,16.47508,0.35152,
61,16.81093,0.34577,
62,17.07961,0.33715,
63,17.14678,0.33715,C
64,17.48263,0.33715,
65,17.71772,0.33715,
66,18.05357,0.32565,*
67,18.38942,0.3199,
68,18.6581,0.3199,C
69,18.79244,0.3199,
70,19.12829,0.3199,C
71,19.29621,0.3199,
72,19.63206,0.31127,
73,19.90074,0.2969,
74,20.203,0.28252,
75,20.203,0.27102,
76,20.40451,0.27102,
77,20.74036,0.27102,
78,21.07621,0.27102,*
79,21.41206,0.27102,
80,21.7479,0.27102,
81,22.08375,0.27102,
82,22.18451,0.24802,
83,22.45319,0.23939,
84,22.55394,0.23077,
85,22.78904,0.23939,
86,23.02413,0.23939,C
87,23.05771,0.23077,
88,23.29281,0.23939,
89,23.62866,0.23939,